generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.41395000000000004,True,0.0,0.22150000000000003,0.9376,82.8,0.0,0.25916666666666666,0.21003471935214266,1.955101586108724,0.4282359826583729,1.8751463804824637,0.9817227802802234,0.2840397623811833,0.2761528379570209,0.19789437548119432,0.593683126443583,0.0
1,0.5032,True,0.0,0.3263999999999999,1.0,80.0,0.0,0.38381702815067786,0.12694468968534842,2.0296911034213787,0.17124581899080846,1.5232,0.03265516804427743,0.31153324690868434,0.10793580083189216,2.443949058346306e-151,7.331847175038917e-151,0.05
2,0.47919999999999996,False,0.0,0.27840000000000004,1.0,80.0,0.0,0.3876986693009724,0.053427846092550205,1.9443714223959723,0.11913729625811113,1.5213,0.0216427817066106,0.2637342708077108,0.08869956339497231,2.8728483099244198e-189,0.0,0.05
3,0.49019999999999997,False,0.0,0.254,1.0,68.4,0.0,0.3316489747447689,0.1237261341587779,1.8937954587328119,0.14704334635182753,1.5189999999999997,0.0255851519440475,0.21704035125495472,0.10187063537078976,2.2444138153916518e-191,0.0,0.05
4,0.45554999999999995,False,0.0,0.3111,1.0,100.0,0.0,0.4073784379502645,0.1390435330120859,2.003112472552653,0.23573796040090478,1.5311719440036349,0.029344958866708997,0.32037748055616666,0.15421615679767023,1.6242827587923616e-115,4.872848276377084e-115,0.05
5,0.44864999999999994,False,0.0,0.2973,1.0,100.0,0.0,0.38215213127158365,0.1363747256577567,1.9768591354743692,0.1710190824227125,1.5171,0.017958006570886392,0.29819660398378167,0.11034078819916389,5.005207666477324e-148,1.5015622999431973e-147,0.05
6,0.42329999999999995,False,0.0,0.24659999999999999,1.0,100.0,0.0,0.3702186817033009,0.13382529456652595,1.8845374882942565,0.13408561345233574,1.5145354166666671,0.019225114799722474,0.24415899796664284,0.07952484056841795,0.002000000000000284,0.006000000000000853,0.05
7,0.5416,True,0.0,0.3632,1.0,70.0,0.0,0.4122021905491575,0.13576225427406724,2.0451524231327065,0.23600023784193108,1.5161000000000002,0.013133544837552448,0.37815994595377556,0.18174021766724266,1.1426825629051438e-84,3.428047688715432e-84,0.05
8,0.48829999999999996,False,0.0,0.3718,1.0,98.8,0.0,0.4381426054431328,0.044543587566137514,2.0798140966290863,0.2559765473447365,1.5058,0.00961041102138718,0.36389518746488353,0.16960010918536014,8.843436544149272e-76,2.6530309632447817e-75,0.05
9,0.49229999999999996,False,0.0,0.29660000000000003,1.0,78.0,0.0,0.3870248934739696,0.13572535051787266,1.9371269416203245,0.16290111723204326,1.582611111111112,0.14534061526099765,0.3104706312512858,0.1159608143164168,0.034800000000000754,0.10440000000000225,0.05
