generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
0,0.7701899999999999,True,0,0.0,0.37139999999999995,0.9410999999999999,0.0,0.0,0.02086516048246001,0.004030332845173898,1.8719402670857104,0.19974054469345912,1.6497916666666643,0.3412884273235694,0.38186775307226917,0.15686865602510142,0.07969999999999987,0.23909999999999965,0.0006644549031731403,0.0001961842916399518,0.0015000000000000013,0.0,0.7869,0.10988216415779223,0.00040971186729461974,1.3789977302182928e-05,0.02141799181579335,0.0037134510251679736,0.0
1,0.81163,True,0,0.0,0.3721,1.0,0.0,0.0,0.02287778732796441,0.003320385904790634,1.8272315199228426,0.14773507632262056,1.5326000000009625,0.0549894535365736,0.3115556993052242,0.08831710359427779,0.0,0.0,0.0005853369599490507,0.00012736707730414264,0.0015000000000000013,0.0,0.7459,0.08806866639162876,0.00040691830770773926,1.3149568309480122e-05,0.02308020799463108,0.003278568233115436,0.05
2,0.7956399999999999,False,0,0.0,0.3188,1.0,0.0,0.0,0.021055993165941714,0.0029862773245778467,1.7442786524069747,0.09624905938025337,1.5452428247137615,0.08251724047434095,0.24620469113778315,0.05572372243879468,0.0,0.0,0.0004986986372096916,9.208341588521656e-05,0.0015000000000000013,0.0,0.6765000000000001,0.06559153908851356,0.00040175552859221384,9.465420286576112e-06,0.02118193072149844,0.002951310417283633,0.05
3,0.6572199999999999,False,0,0.0,0.38939999999999997,0.772,0.0,0.0,0.019886310030643436,0.0036504084692817363,2.0122707983261607,0.29666628812698387,2.26343823684949,0.9914344658583244,0.5343133626863954,0.2637713505481811,0.47300000000000003,0.6284592269988564,0.0008130566539230624,0.0002898676547927437,0.0015000000000000013,0.0,0.8477,0.14069331896007004,0.00041278137674022287,1.2658610713637135e-05,0.02030153603064344,0.003618827798729961,0.05
4,0.75967,False,0,0.0,0.3487,0.9358000000000001,0.0,0.0,0.02132248671859278,0.006101346795362727,1.8250874686086398,0.18266801040757813,1.654211111111111,0.33505979731650526,0.341808216441878,0.1823465221405029,0.07980000000000015,0.23940000000000045,0.0005942410543558964,0.00019862904021756344,0.0014999999999999736,2.7755575615628914e-17,0.7244307262569833,0.11003099311851405,0.00040425141858508294,1.3790937845005711e-05,0.02149456271859278,0.00606032145860277,0.05
5,0.7662,False,0,0.0,0.3567,0.9417,0.0,0.0,0.02088871709332311,0.007228931307960146,1.8387521731380325,0.18031783663501622,1.63934627254081,0.34036066014871164,0.3279255620347533,0.17794935639069134,0.09130000000000059,0.23833591840089952,0.0005947113207955809,0.000213303197135513,0.0014499999999999457,0.00015000000000000012,0.7374611510791367,0.1364784073378599,0.00040856092043110615,1.4024576449971614e-05,0.02107656509894858,0.007311320537652656,0.05
6,0.7498599999999999,False,0,0.0,0.414,0.8937999999999999,0.0,0.0,0.022015095723085493,0.003974586857831178,1.9516344176278924,0.1638021264825139,1.7678490094353123,0.44924770991826907,0.43451778142475667,0.18579003978118838,0.16280000000000067,0.3177410266238849,0.0007469751756178419,0.00021102173771373362,0.0014999999999998903,0.0,0.8234752665245203,0.09958265611587931,0.00041605114818969973,9.912662621345772e-06,0.022194907056418824,0.00400731299482847,0.05
7,0.7907799999999999,False,0,0.0,0.3026,1.0,0.0,0.0,0.021849113246138186,0.007252894284832283,1.7273458886604076,0.11539880110984214,1.5705168402777794,0.06224493281505875,0.2404130225962144,0.1080114269874284,0.019100000000001033,0.03999612481228854,0.0004845823137029544,0.00013639040139307198,0.001449999999999979,0.00015000000000002975,0.6884,0.08853044674009049,0.0003991476017514028,1.1280986174814186e-05,0.02193160791280485,0.007256660824007734,0.05
8,0.8104899999999999,False,0,0.0,0.36829999999999996,1.0,0.0,0.0,0.021403264607779224,0.004604420317552086,1.8010547527481005,0.07533765777828261,1.5398000000000047,0.06730334499053105,0.3240727748633405,0.05442079255065459,0.023200000000000897,0.04882786089928754,0.0005759127244847515,7.124132431259087e-05,0.0014999999999999458,0.0,0.7262,0.043526543625700395,0.00040277218441998566,5.754124472429031e-06,0.021561972607779225,0.004630592756929783,0.05
9,0.8026599999999999,False,0,0.0,0.34219999999999995,1.0,0.0,0.0,0.02291899892014914,0.004641755958248084,1.7748169118974104,0.13577337398424097,1.5202888888888897,0.05761053144463754,0.283252603316059,0.08040026928735027,0.013600000000000478,0.04080000000000143,0.0005319309762106849,0.00010988992358356629,0.0014999999999999458,0.0,0.7054,0.0782536900088424,0.00039997290692738607,9.425252572820015e-06,0.023115418920149143,0.004609827826072495,0.05
